country_id,country,GEOLEVEL1,province,cohort,primary_educ,higher_educ,tertiary_educ,n,1a_distance-to-the-nearest-city,1b_name-of-the-nearest-city,2a_elevation-sd,2b_elevation-mean,2c_elevation-min,2d_elevation-max,2e_elevation-valid-pixels,3a_average-annual-precipitation-mm,3b_annual-precipitation-min-mm,3c_annual-precipitation-max-mm,3d_annual-precipitation-sd-mm,3e_annual-precipitation-valid-pixels,4a_average-annual-temperature-c,4b_annual-temperature-min-c,4c_annual-temperature-max-c,4d_annual-temperature-sd-c,5_area-km-2,6_river,7_sea,8_border,9_latitude,10_longitude,11_caloric_suitability_average,12_oil-surface-share,13_gold-deposit,14a_nighttime_light_intensity_average_2000,14b_nighttime_light_intensity_average_2012,15_railway,16a_mission-dummy,16b_distance-to-nearest-mission-km,16e_25-km-mission-exposure-buffer,16f_mission-count-within-25km-centroid,16g_mission-count-within-50km-centroid,16h_mission-count-within-75km-centroid,16i_mission-count-within-100km-centroid,16j_mission-count-total,16k_mission-station-density
19,liberia,430021,"Gbarpolu, Lofa",1955,0.2356968215158924,0.17995110024449879,0.043031784841075796,4090,168.67247131939664,Monrovia,136.67891942095687,373.86746987951807,76.0,685.0,83,2518.421686746988,2056.0,3482.0,263.589454442966,83,25.389918040080243,23.28575134277344,26.70885467529297,0.7615874592167886,19659.838921903545,0,0,1,7.705331958319063,-10.085313857545607,2620.309967433946,0.0,0,,5.964285850524902,1,1,70.38385993578316,0.2124485767403456,0,0,2,3,2,0.0001017302332915
19,liberia,430027,"Grand Gedeh, Grand Kru, Maryland, River Gee, Rivercess, Sinoe",1955,0.3414841229410766,0.23756155544235014,0.046697232127695706,5889,271.2509079132628,Monrovia,80.95797344053575,148.48591549295776,6.0,278.0,142,2696.450704225352,1745.0,3835.0,551.5688326468342,142,25.407328659379985,24.79609489440918,26.02306365966797,0.2719166905859631,37160.262495428025,0,1,1,5.488654021593154,-8.447962613898211,2370.999206683928,0.0,0,4.0,5.765431880950928,0,1,16.445510388437686,0.3305563264834334,2,3,5,9,11,0.0002960151317917
19,liberia,430030,"Bomi, Bong, Grand Bassa, Margibi, Montserrado",1955,0.2901751713632902,0.2145849200304646,0.05378903274942879,10504,92.478814262415,Monrovia,100.75228408254428,158.09574468085106,10.0,400.0,94,2761.7978723404253,2024.0,4347.0,641.6589300778604,94,25.73386125361666,24.76852226257324,26.606645584106445,0.3589776766508187,22881.04903515265,0,1,1,6.597042245962757,-9.951636587214349,2500.5669479927005,0.0,1,7.908860683441162,10.153422355651855,1,1,18.349653500983063,0.4724953773581767,1,3,8,17,18,0.0007866772180045
19,liberia,430033,Nimba,1955,0.2712258664805769,0.18376366596882995,0.033961386368923006,4299,224.59313778796695,Monrovia,105.20131516684911,291.7368421052632,113.0,664.0,57,2104.9824561403507,1787.0,2933.0,240.27721498945792,57,25.26006437602796,23.31770896911621,25.75705909729004,0.5332232621722055,11511.45663591964,0,0,1,6.819686274909082,-8.772446239745403,2528.7643528988488,0.0,0,4.0,5.692307472229004,0,0,109.68976355510851,0.0,0,0,0,0,0,0.0
19,liberia,430012,Grad Cape Mount,1965,0.32959101844426625,0.272654370489174,0.09703287890938252,1247,89.7925910956766,Monrovia,90.58727504456684,110.84,9.0,317.0,25,3409.36,2692.0,4215.0,518.5849885987832,25,25.922212982177733,25.453771591186523,26.552978515625,0.240860762656803,4709.34147976209,0,1,1,7.089120018564102,-11.045487886848628,2593.287607230392,0.0,0,,,1,1,25.041447043010773,0.5084780947560696,0,2,10,23,1,0.0002123439135381
19,liberia,430021,"Gbarpolu, Lofa",1965,0.3308594685180752,0.2647833373234379,0.0780464448168542,4177,168.67247131939664,Monrovia,136.67891942095687,373.86746987951807,76.0,685.0,83,2518.421686746988,2056.0,3482.0,263.589454442966,83,25.389918040080243,23.28575134277344,26.70885467529297,0.7615874592167886,19659.838921903545,0,0,1,7.705331958319063,-10.085313857545607,2620.309967433946,0.0,0,,5.964285850524902,1,1,70.38385993578316,0.2124485767403456,0,0,2,3,2,0.0001017302332915
19,liberia,430027,"Grand Gedeh, Grand Kru, Maryland, River Gee, Rivercess, Sinoe",1965,0.4308998302207131,0.3220713073005093,0.06876061120543293,5890,271.2509079132628,Monrovia,80.95797344053575,148.48591549295776,6.0,278.0,142,2696.450704225352,1745.0,3835.0,551.5688326468342,142,25.407328659379985,24.79609489440918,26.02306365966797,0.2719166905859631,37160.262495428025,0,1,1,5.488654021593154,-8.447962613898211,2370.999206683928,0.0,0,4.0,5.765431880950928,0,1,16.445510388437686,0.3305563264834334,2,3,5,9,11,0.0002960151317917
19,liberia,430030,"Bomi, Bong, Grand Bassa, Margibi, Montserrado",1965,0.4138817480719794,0.33220001658512316,0.096525416701219,12059,92.478814262415,Monrovia,100.75228408254428,158.09574468085106,10.0,400.0,94,2761.7978723404253,2024.0,4347.0,641.6589300778604,94,25.73386125361666,24.76852226257324,26.606645584106445,0.3589776766508187,22881.04903515265,0,1,1,6.597042245962757,-9.951636587214349,2500.5669479927005,0.0,1,7.908860683441162,10.153422355651855,1,1,18.349653500983063,0.4724953773581767,1,3,8,17,18,0.0007866772180045
19,liberia,430033,Nimba,1965,0.43556244464127547,0.3175376439326838,0.05978742249778565,4516,224.59313778796695,Monrovia,105.20131516684911,291.7368421052632,113.0,664.0,57,2104.9824561403507,1787.0,2933.0,240.27721498945792,57,25.26006437602796,23.31770896911621,25.75705909729004,0.5332232621722055,11511.45663591964,0,0,1,6.819686274909082,-8.772446239745403,2528.7643528988488,0.0,0,4.0,5.692307472229004,0,0,109.68976355510851,0.0,0,0,0,0,0,0.0
19,liberia,430012,Grad Cape Mount,1975,0.342533267619517,0.2572695909314933,0.056185312962050274,2029,89.7925910956766,Monrovia,90.58727504456684,110.84,9.0,317.0,25,3409.36,2692.0,4215.0,518.5849885987832,25,25.922212982177733,25.453771591186523,26.552978515625,0.240860762656803,4709.34147976209,0,1,1,7.089120018564102,-11.045487886848628,2593.287607230392,0.0,0,,,1,1,25.041447043010773,0.5084780947560696,0,2,10,23,1,0.0002123439135381
